GEO_ID,id_Fix,NAME,Patientreadmin,PATIENTREADMINZ,Cleanliness - star rating,CLENLINESSZ,Nurse communication - star rating,NURSECOMZ,Doctor communication - star rating,DOCTORCOMZ,Staff responsiveness - star rating,STAFFRESPZ,Communication about medicines - star rating,COMMMEDZ,Discharge information - star rating,DISCHARGEINFOZ,Care transition - star rating,CARETRANSIZ,Overall hospital rating - star rating,OVERALLHOSPZ,Quietness - star rating,QUIETZ,Recommend hospital - star rating,RECHOSZ,Qualzore,INDEX_qual,Lifeexpectancy,LIEEXPZ,INDEX_LifeExpect,infantmortality,INFANTMORZ,INDEX_InfantMort,ReadminRATE,Readminz,INDEX_readminrate,averagez,INDEX_Overall
1400000US16027020700,16027020700,"Census Tract 207, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,80.5, 1.02 ,1,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.85 ,1
1400000US16027020901,16027020901,"Census Tract 209.01, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,79.3, 0.50 ,2,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.34 ,2
1400000US16027020902,16027020902,"Census Tract 209.02, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,81.9, 1.62 ,1,16, 0.72 ,1,85.041666666666700%, (0.27),2, 5.46 ,1
1400000US16027021001,16027021001,"Census Tract 210.01, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,80.5, 1.02 ,1,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.85 ,1
1400000US16027021002,16027021002,"Census Tract 210.02, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,80.4, 0.98 ,2,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.81 ,2
1400000US16027021100,16027021100,"Census Tract 211, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,80.4, 0.98 ,2,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.81 ,2
1400000US16027021200,16027021200,"Census Tract 212, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,77.2, (0.41),4,16, 0.72 ,1,85.041666666666700%, (0.27),2, 3.43 ,3
1400000US16027021300,16027021300,"Census Tract 213, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,77.2, (0.41),4,16, 0.72 ,1,85.041666666666700%, (0.27),2, 3.43 ,3
1400000US16027021500,16027021500,"Census Tract 215, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,76, (0.93),5,16, 0.72 ,1,85.041666666666700%, (0.27),2, 2.91 ,4
1400000US16027021600,16027021600,"Census Tract 216, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,76.3, (0.80),5,16, 0.72 ,1,85.041666666666700%, (0.27),2, 3.04 ,4
1400000US16027021700,16027021700,"Census Tract 217, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,76.7, (0.62),4,16, 0.72 ,1,85.041666666666700%, (0.27),2, 3.21 ,3
1400000US16027021800,16027021800,"Census Tract 218, Canyon County, Idaho",14.96%, 0.37 ,3.5, 0.25 ,4, 0.32 ,3, 0.32 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.18 ,3.5, 0.37 ,3.5, 0.25 ,3, 0.32 ,4, 0.47 , 3.38 ,3,79.6, 0.63 ,2,16, 0.72 ,1,85.041666666666700%, (0.27),2, 4.47 ,2
